date,draw_number,Unclaimed Rate (%),Total Unclaimed Prize (KRW),Total Prize Amount (KRW),Consumer Sentiment Index,Unemployment Rate (%),KOSPI Index,Average Temperature (°C),Temperature Change (°C),Precipitation (mm),Sunshine Duration (hr),Holiday (0/1),Salary Week (0/1)
2024.6.6,214,0.76,"₩49,969,000 ","₩6,545,567,000 ",100.9,2.8,"3,071.70",20.6,1,0.2,248.1,1,0
2024.5.30,213,1.09,"₩45,191,000 ","₩4,140,888,000 ",98.4,2.8,"2,697.67",19.6,1.9,0.2,269.6,0,1
2024.5.23,212,2.00,"₩44,472,000 ","₩2,219,053,000 ",98.4,2.8,"2,697.67",21.5,7.5,0,269.6,0,1
2024.5.16,211,4.06,"₩163,671,000 ","₩4,028,521,000 ",98.4,2.8,"2,697.67",14,1.3,3.6,269.6,1,0
2024.5.9,210,1.34,"₩44,949,000 ","₩3,348,503,000 ",98.4,2.8,"2,697.67",15.3,0.2,0,269.6,0,0
2024.5.2,209,0.98,"₩54,450,000 ","₩5,584,186,000 ",98.4,2.8,"2,697.67",15.1,0.5,0,269.6,0,0
2024.4.25,208,0.71,"₩44,109,000 ","₩6,236,653,000 ",100.7,2.8,"2,556.61",15.6,0.3,0,194.9,0,1
2024.4.18,207,1.14,"₩47,531,000 ","₩4,178,357,000 ",100.7,2.8,"2,556.61",15.9,1.7,0,194.9,0,0
2024.4.11,206,9.52,"₩646,580,000 ","₩6,792,998,000 ",100.7,2.8,"2,556.61",14.2,1.8,0,194.9,0,0
2024.4.4,205,10.46,"₩648,145,000 ","₩6,194,625,000 ",100.7,2.8,"2,556.61",12.4,2.9,0.5,194.9,0,0
2024.3.28,204,0.81,"₩51,439,000 ","₩6,370,452,000 ",100.7,2.8,"2,481.12",9.5,5.1,23.2,201.3,0,1
2024.3.21,203,0.73,"₩48,307,000 ","₩6,580,401,000 ",100.7,2.8,"2,481.12",4.4,3.2,0,201.3,0,1
2024.3.14,202,1.05,"₩49,333,000 ","₩4,678,440,000 ",100.7,2.8,"2,481.12",7.6,3.6,0,201.3,0,0
2024.3.7,201,0.85,"₩52,584,000 ","₩6,173,039,000 ",100.7,2.8,"2,481.12",4,0.3,0.3,201.3,0,0
2024.2.29,200,1.53,"₩57,340,000 ","₩3,751,956,000 ",101.9,2.6,"2,532.78",4.3,2.3,2.7,111,1,1
2024.2.22,199,0.83,"₩51,709,000 ","₩6,218,663,000 ",101.9,2.6,"2,532.78",2,4,5,111,0,1
2024.2.15,198,0.84,"₩56,969,000 ","₩6,771,090,000 ",101.9,2.6,"2,532.78",6,5.4,4.5,111,0,0
2024.2.8,197,4.08,"₩48,878,000 ","₩1,198,005,000 ",101.9,2.6,"2,532.78",0.6,3.3,0,111,1,0
2024.2.1,196,1.01,"₩46,999,000 ","₩4,633,636,000 ",101.9,2.6,"2,532.78",3.9,8,1.2,111,0,0
2024.1.25,195,1.09,"₩43,868,000 ","₩4,017,016,000 ",101.6,3,"2,517.37",-4.1,10.1,0,174.9,0,1
2024.1.18,194,14.18,"₩649,215,000 ","₩4,577,753,000 ",101.6,3,"2,517.37",6,4.6,5.7,174.9,0,0
2024.1.11,193,1.08,"₩50,060,000 ","₩4,615,355,000 ",101.6,3,"2,517.37",1.4,0.1,0,174.9,0,0
2024.1.4,192,6.41,"₩295,209,000 ","₩4,606,155,000 ",101.6,3,"2,517.37",1.5,0.2,0,174.9,0,0
2023.12.28,191,0.70,"₩47,350,000 ","₩6,718,110,000 ",99.7,3.2,"2,399.49",1.7,9.8,0,154.6,0,1
2023.12.21,190,0.59,"₩39,655,000 ","₩6,732,215,000 ",99.7,3.2,"2,399.49",-8.1,16.9,0.7,154.6,0,1
2023.12.14,189,1.10,"₩43,438,000 ","₩3,943,633,000 ",99.7,3.2,"2,399.49",8.8,2.3,23.4,154.6,0,0
2023.12.7,188,2.14,"₩38,483,000 ","₩1,795,358,000 ",99.7,3.2,"2,399.49",6.5,7.7,0,154.6,0,0
2023.11.30,187,1.08,"₩43,403,000 ","₩4,020,728,000 ",97.2,2.8,"2,455.91",-1.2,13.3,0,184.5,0,1
2023.11.23,186,1.13,"₩38,700,000 ","₩3,412,249,000 ",97.2,2.8,"2,455.91",12.1,6.2,0.1,184.5,0,1
2023.11.16,185,0.80,"₩45,599,000 ","₩5,707,840,000 ",97.2,2.8,"2,455.91",5.9,6.8,9.2,184.5,0,0
2023.11.9,184,1.18,"₩41,075,000 ","₩3,474,706,000 ",97.2,2.8,"2,455.91",12.7,5.7,5,184.5,0,0
2023.11.2,183,0.88,"₩49,802,000 ","₩5,690,202,000 ",97.2,2.8,"2,455.91",18.4,2.5,0,184.5,0,0
2023.10.26,182,1.28,"₩52,101,000 ","₩4,059,772,000 ",98.2,2.5,"2,556.15",15.9,0.2,2.4,222.2,0,1
2023.10.19,181,0.58,"₩38,772,000 ","₩6,654,330,000 ",98.2,2.5,"2,556.15",15.7,0.1,5.4,222.2,0,0
2023.10.12,180,1.13,"₩44,404,000 ","₩3,940,725,000 ",98.2,2.5,"2,556.15",15.6,1.4,0,222.2,1,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
